,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,134.51,0.059295,09:30:30,134.7,0.060791,09:30:45,0.1496
1,20230403,128106,华统转债,231.413,0.056198,09:52:33,232.999,0.063437,09:53:48,0.7239
2,20230403,113039,嘉泽转债,156.19,0.055885,10:19:24,156.7,0.059333,10:20:12,0.3448
3,20230403,110091,合力转债,155.588,0.056301,11:09:19,155.6,0.056382,11:11:07,0.0081
4,20230403,123177,测绘转债,153.161,0.055311,13:46:12,152.614,0.051542,13:51:36,-0.3769
5,20230404,123050,聚飞转债,137.5,0.065902,09:30:03,137.68,0.067297,09:30:15,0.1395
6,20230404,110052,贵广转债,167.978,0.05592,09:31:18,169.509,0.065544,09:32:09,0.9624
7,20230404,127064,杭氧转债,164.086,0.056691,09:31:39,163.131,0.050541,09:31:45,-0.615
8,20230404,123015,蓝盾转债,224.06,0.05535,09:32:09,225.867,0.063862,09:32:33,0.8512
9,20230404,123135,泰林转债,158.86,0.056172,09:41:42,159.754,0.062116,09:42:39,0.5944
10,20230404,127014,北方转债,221.75,0.055033,10:19:27,221.48,0.053748,10:22:12,-0.1285
11,20230404,127029,中钢转债,157.343,0.055453,10:36:09,156.9,0.052481,10:37:36,-0.2972
12,20230406,123015,蓝盾转债,235.525,0.056074,09:30:57,234.572,0.051801,09:31:06,-0.4273
13,20230406,123177,测绘转债,176.534,0.057404,09:32:06,178.125,0.066933,09:32:48,0.9529
14,20230406,123078,飞凯转债,171.59,0.055228,10:03:36,172.892,0.063235,10:04:09,0.8007
15,20230406,128122,兴森转债,148.943,0.059671,10:09:54,148.794,0.058611,10:10:03,-0.106
16,20230406,123025,精测转债,171.531,0.055566,10:13:27,175.992,0.083018,10:13:54,2.7452
17,20230406,127038,国微转债,163.115,0.05618,10:34:24,163.723,0.060117,10:36:09,0.3937
18,20230406,123022,长信转债,159.699,0.05834,11:02:39,159.034,0.053933,11:02:48,-0.4407
19,20230406,113621,彤程转债,164.023,0.055307,11:16:54,163.5,0.051942,11:17:15,-0.3365
20,20230406,128091,新天转债,202.833,0.056743,13:08:12,201.815,0.05144,13:08:21,-0.5303
21,20230406,123118,惠城转债,231.109,0.057664,13:42:57,230.468,0.05473,13:43:12,-0.2934
22,20230406,127064,杭氧转债,179.187,0.056573,13:46:33,178.927,0.05504,13:46:45,-0.1533
23,20230406,110044,广电转债,227.899,0.069838,14:20:32,225.07,0.056558,14:20:35,-1.328
24,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
25,20230407,127052,西子转债,124.867,0.056684,09:30:24,125.206,0.059553,09:30:30,0.2869
26,20230407,118012,微芯转债,143.887,0.058878,09:33:31,142.94,0.051909,09:33:34,-0.6969
27,20230407,123025,精测转债,183.917,0.05593,09:44:27,183.006,0.0507,09:45:06,-0.523
28,20230407,123098,一品转债,200.531,0.055426,10:02:57,200.986,0.057821,10:04:30,0.2395
29,20230407,113625,江山转债,128.601,0.055214,10:29:21,128.146,0.051481,10:31:03,-0.3733
30,20230407,127058,科伦转债,177.878,0.055049,10:31:33,177.21,0.051087,10:36:06,-0.3962
31,20230407,123014,凯发转债,147.25,0.055226,13:03:24,146.88,0.052575,13:05:21,-0.2651
32,20230407,113660,寿22转债,164.1,0.055685,14:38:58,164.328,0.057151,14:44:19,0.1466
33,20230410,123122,富瀚转债,134.261,0.057284,09:34:33,133.749,0.053252,09:34:36,-0.4032
34,20230410,123158,宙邦转债,151.996,0.056963,09:38:57,151.881,0.056163,09:39:09,-0.08
35,20230410,111007,永和转债,185.672,0.056837,10:08:12,186.497,0.061533,10:08:51,0.4696
36,20230410,113039,嘉泽转债,165.35,0.055436,10:13:25,165.797,0.058289,10:13:49,0.2853
37,20230410,110058,永鼎转债,137.659,0.055084,10:24:32,137.501,0.053873,10:25:11,-0.1211
38,20230410,123025,精测转债,189.047,0.056123,10:25:09,188.006,0.050307,10:25:36,-0.5816
39,20230410,118027,宏图转债,153.497,0.056303,10:33:36,153.29,0.054878,10:34:12,-0.1425
40,20230410,127029,中钢转债,166.64,0.056659,10:48:48,166.0,0.0526,10:49:12,-0.4059
41,20230410,128095,恩捷转债,220.118,0.055184,13:10:57,221.172,0.060237,13:13:09,0.5053
42,20230411,123015,蓝盾转债,224.209,0.05596,09:34:39,223.271,0.051542,09:35:18,-0.4418
43,20230411,113615,金诚转债,290.331,0.055794,13:04:45,291.8,0.061136,13:05:36,0.5342
44,20230412,123112,万讯转债,148.094,0.055587,09:43:30,148.129,0.055836,09:44:00,0.0249
45,20230412,123025,精测转债,195.0,0.055199,10:38:39,194.579,0.05292,10:39:36,-0.2279
