,债券名称,债券代码,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
0,智尚转债,123191,2023-05-10 09:56,139.98,3.0022,2023-05-10 10:37,152.381,12.1273,8.859123
1,伯特转债,113626,2023-05-10 13:03,203.109,3.1021,2023-05-10 13:44,204.294,3.7036,0.583431
2,英联转债,128079,2023-05-10 09:48,140.131,3.0792,2023-05-10 10:29,141.109,3.7986,0.697918
3,惠城转债,123118,2023-05-10 13:02,210.75,3.2612,2023-05-10 13:43,212.851,4.2907,0.996916
4,中矿转债,128111,2023-05-10 09:46,538.78,3.0172,2023-05-10 10:27,539.001,3.0595,0.041019
5,瑞鹄转债,127065,2023-05-10 09:32,153.36,3.2102,2023-05-10 10:18,151.1,1.6892,-1.473657
6,文灿转债,113537,2023-05-10 13:17,224.33,3.0001,2023-05-10 13:58,225.168,3.3848,0.373557
7,起帆转债,111000,2023-05-10 10:08,135.86,3.7068,2023-05-10 10:58,134.502,2.6701,-0.999558
8,恒锋转债,123173,2023-05-10 09:56,145.1,3.054,2023-05-10 10:46,143.1,1.6335,-1.37836
9,银轮转债,127037,2023-05-10 13:13,159.649,3.2004,2023-05-10 14:03,159.4,3.0395,-0.155967
10,小康转债,113016,2023-05-10 11:30,255.0,3.3209,2023-05-10 13:41,256.327,3.8585,0.520392
